Classifier,Gen Score,Test Score,Time
XGBoost,0.8568,0.892,1.7978379726409912
SVM,0.8504,0.8752000000000001,0.1623978614807129
XGBoost RF,0.8432,0.8720000000000001,3.0411911010742188
Random Forest,0.8504,0.8688,2.9934909343719482
MLP,0.8392,0.8512000000000001,8.148369312286377
Logistic Regression,0.82,0.8376000000000001,4.699967384338379
KNN,0.796,0.8224,0.06282973289489746
Decision Tree,0.796,0.812,0.36726975440979004
Naive Bayes,0.7824,0.7992,0.021288394927978516
AdaBoost,0.6216,0.47519999999999996,3.3699543476104736
